id,codice_ipa,categoria,name,seed_domain,fallbacks,n_fallbacks,fb_validator_reasons
IT-L18-udclq_,udclq_,L18,Unione Dei Comuni Le Quattro Terre,unionequattroterre.it,alice.it,1,alice.it=NO:unrelated
IT-L18-udcmavt,udcmavt,L18,Unione Dei Comuni Montani dell'Alta Val Trebbia,pec.unionealtavaltrebbia.ge.it,unionealtavaltrebbia.ge.it,1,unionealtavaltrebbia.ge.it=OK:subdomain_or_parent
IT-L18-udcp,udcp,L18,Unione Dei Comuni Pentri,unionedeicomunipentri.it,gmail.it,1,gmail.it=NO:unrelated
IT-L18-udctc,udctc,L18,Unione Dei Comuni Terre di Collina,95.110.168.247,comune.serradifalco.cl.it,1,comune.serradifalco.cl.it=NO:unrelated
IT-L18-udctl_le,udctl_le,L18,Unione Dei Comuni Terra di Leuca,unioneterradileuca.it,gmail.com,1,gmail.com=NO:unrelated
IT-L18-udctv,udctv,L18,Unione dei Comuni del Calatino,servizi.unionedeicomunidelcalatino.it,gmail.com,1,gmail.com=NO:unrelated
IT-L18-udcv,udcv,L18,Unione Dei Comuni della Valle dell'Olio,www3.unionecomunivalleolio.it,tiscali.it;unionecomunivalleolio.it,2,tiscali.it=NO:unrelated | unionecomunivalleolio.it=OK:subdomain_or_parent
IT-L18-udcv_070,udcv_070,L18,Unione Dei Comuni della Valle del Tammaro,unionevalledeltammaro.gov.it,valledeltammaro.gov.it,1,valledeltammaro.gov.it=NO:unrelated
IT-L18-udcv_083,udcv_083,L18,Unione Dei Comuni Valli Dei Nebrodi,unionevallideinebrodi.it,pec.unionevallideinebrodi.it,1,pec.unionevallideinebrodi.it=OK:subdomain_or_parent
IT-L18-udcvs_,udcvs_,L18,Unione Dei Comuni Valle del Sosio,unionevalledelsososio.it,alice.it,1,alice.it=NO:unrelated
IT-L18-udne,udne,L18,Unione Dei Nebrodi,unionedeinebrodi.it,pec.unionedeinebrodi.it,1,pec.unionedeinebrodi.it=OK:subdomain_or_parent
IT-L18-umcn,umcn,L18,Unione Montana del Catria e Nerone,unione.catrianerone.pu.it,provincia.ps.it,1,provincia.ps.it=NO:unrelated
IT-L18-umtv,umtv,L18,Unione Montana del Tronto e Valfluvione,unione.trontovalfluvione.it,umtronto.it,1,umtronto.it=NO:unrelated
IT-L18-upm_082,upm_082,L18,Unione dei comuni Pizzo Marabito,marabito.comune.mezzojuso.pa.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-L18-uva,uva,L18,Unione Valli Astigiane,unionevalliastigiane.comuninrete.at.it,gmail.com,1,gmail.com=NO:unrelated
IT-L2-arcdc_sa,arcdc_sa,L2,Agenzia Regionale Conservatoria Delle Coste della Sardegna,sardegnaambiente.it,regione.sardegna.it,1,regione.sardegna.it=NO:pa_shared_platform_out_of_scope:regione.sardegna.it
IT-L2-arpas_ca,arpas_ca,L2,Agenzia Regionale per la Protezione dell'Ambiente della Sardegna,sardegnaambiente.it,arpa.sardegna.it,1,arpa.sardegna.it=NO:unrelated
IT-L2-serspa,serspa,L2,Sicilia e Ricerca S.P.A.,siciliaericerca.it,gmail.com,1,gmail.com=NO:unrelated
IT-L24-cdcbiim,cdcbiim,L24,Consorzio Dei Comuni del Bacino Imbrifero Montano del Piave dell'Alta Valcellina,bimpiave.regione.fvg.it,comune.cimolais.pn.it,1,comune.cimolais.pn.it=NO:unrelated
IT-L24-cvs,cvs,L24,Consiglio di Valle Sabbia,consorziobim.etrasparenza2.it,bimcvs.it,1,bimcvs.it=NO:unrelated
IT-L28-ccars,ccars,L28,Consorzio C.A.R.S.O.,carsoconsortium.it,uniba.it,1,uniba.it=NO:unrelated
IT-L28-inn,inn,L28,Istituto Nazionale di Neuroscienze,ist-nazionale-neuroscienze.unito.it,gmail.com,1,gmail.com=NO:unrelated
IT-L33-EEYO9QFD,EEYO9QFD,L33,Centro Regionale Istruzione Adulti,cria.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-ICBO,ICBO,L33,Istituto Comprensivo Bolzano 4 - Oltrisarco,icbz4.edu.it,scuola.alto-adige.it,1,scuola.alto-adige.it=NO:pa_shared_platform_out_of_scope:scuola.alto-adige.it
IT-L33-ITECB,ITECB,L33,Istituto di Istruzione Secondaria di II Grado Cesare Battisti,iisscesarebattisti.edu.it,scuola.alto-adige.it,1,scuola.alto-adige.it=NO:pa_shared_platform_out_of_scope:scuola.alto-adige.it
IT-L33-LAR,LAR,L33,Liceo Antonio Rosmini Trento,liceorosmini.edu.it,scuole.provincia.tn.it,1,scuole.provincia.tn.it=NO:unrelated
IT-L33-css_001,css_001,L33,Convitto Statale per Sordomuti,convittosordi.com,libero.it,1,libero.it=NO:unrelated
IT-L33-gkic_ud,gkic_ud,L33,Grundschulsprengel Klausen II Circolo di Scuola Elementare Chiusa II,gsd.klausen2.it,schule.suedtirol.it,1,schule.suedtirol.it=NO:pa_shared_platform_out_of_scope:schule.suedtirol.it
IT-L33-icbcs_bz,icbcs_bz,L33,Istituto Comprensivo Bolzano 1 Centro Storico,icbz1.edu.it,scuola.alto-adige.it,1,scuola.alto-adige.it=NO:pa_shared_platform_out_of_scope:scuola.alto-adige.it
IT-L33-icspm_tn,icspm_tn,L33,Istituto Comprensivo Mezzolombardo-Paganella,icmezzolombardopaganella.edu.it,scuole.provincia.tn.it,1,scuole.provincia.tn.it=NO:unrelated
IT-L33-icspstn5,icspstn5,L33,"Istituto Comprensivo di Scuola Primaria e Secondaria di Primo Grado Rovereto - Sud Via Benacense, 32",istituti.vivoscuola.it,scuole.provincia.tn.it,1,scuole.provincia.tn.it=NO:unrelated
IT-L33-icsvm_bz,icsvm_bz,L33,Istituto Comprensivo San Vigilio di Marebbe,direziunalplan.it,scuola.alto-adige.it,1,scuola.alto-adige.it=NO:pa_shared_platform_out_of_scope:scuola.alto-adige.it
IT-L33-iiad_tn,iiad_tn,L33,Istituto di Istruzione Alcide Degasperi,istalcidedegasperi.edu.it,scuole.provincia.tn.it,1,scuole.provincia.tn.it=NO:unrelated
IT-L33-ipbp_,ipbp_,L33,Istituto Pluricomprensivo Brunico-val Pusteria,ipcbrunico.it,scuola.alto-adige.it,1,scuola.alto-adige.it=NO:pa_shared_platform_out_of_scope:scuola.alto-adige.it
IT-L33-isajm_,isajm_,L33,Istituzione Scolastica Abbe J.M. Treves,ajmtreves.edu.it,mail.scuole.vda.it;regione.vda.it,2,mail.scuole.vda.it=NO:unrelated | regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-isapdcao,isapdcao,L33,Istituzione scolastica Abbé Prosper Duc,prosperduc.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-iscme_,iscme_,L33,Istituzione scolastica Ottavio Jacquemet,ojacquemet.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-iscmm_,iscmm_,L33,Istituzione Scolastica Unite Des Communes Valdotaines Mont Rose A.,mrosea.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-iscmm_bv,iscmm_bv,L33,Istituzione Scolastica Unite Des Communes Valdotaines Mont Emilius 1,memilius1.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-iscmv_,iscmv_,L33,Istituzione Scolastica Valdigne Mont-Blanc,valdignemb.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-isem_,isem_,L33,Istituzione Scolastica Eugenia Martinet,eugeniamartinet.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-isjc_,isjc_,L33,Istituzione Scolastica Jean-baptiste Cerlogne,jbcerlogne.edu.it,mail.scuole.vda.it;regione.vda.it,2,mail.scuole.vda.it=NO:unrelated | regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-islb,islb,L33,Istituzione Scolastica Luigi Barone,lbarone.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-isle,isle,L33,Istituzione Scolastica Luigi Einaudi,leinaudi.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-isme_,isme_,L33,Istituzione Scolastica Mont Emilius 2,memilius2.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-ismiv,ismiv,L33,Istituzione Scolastica Maria Ida Viglino,miviglino.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-isrma_,isrma_,L33,Istituzione Scolastica R.M.Adelaide,rmadelaide.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-issr_,issr_,L33,Istituzione Scolastica Saint Roch,sroch.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-iswm_,iswm_,L33,ISTITUZIONE SCOLASTICA ELIO REINOTTI,ereinotti.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-itr,itr,L33,Istituto Tecnico-professionale Regionale,cgex.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-lc_tn,lc_tn,L33,Liceo Andrea Maffei,e.liceomaffei.it,scuole.provincia.tn.it,1,scuole.provincia.tn.it=NO:unrelated
IT-L33-lseb_,lseb_,L33,Liceo Scientifico Edouard Berard,lberard.edu.it,regione.vda.it,1,regione.vda.it=NO:pa_shared_platform_out_of_scope:regione.vda.it
IT-L33-st_,st_,L33,Schulsprengel Tschoegglberg,ssp-tschoegglberg.it,schule.suedtirol.it,1,schule.suedtirol.it=NO:pa_shared_platform_out_of_scope:schule.suedtirol.it
IT-L34-apspc,apspc,L34,"Azienda Pubblica di Servizi alla Persona Cordenonese ""Virginia Fabbri Taliento""",casadiriposocordenons.it,aspcordenonese.it,1,aspcordenonese.it=NO:unrelated
IT-L34-cotl,cotl,L34,Casa di Ospitalita' Tommaso Lucentini,tommasolucentini.jimdo.com,gmail.com,1,gmail.com=NO:unrelated
IT-L34-crca,crca,L34,Casa di Riposo Citta' di Asti,casadiriposo.asti.it,gmail.com,1,gmail.com=NO:unrelated
IT-L34-crgx_,crgx_,L34,Casa di Riposo Giovanni Xxiii,sites.google.com,libero.it,1,libero.it=NO:unrelated
IT-L34-crmadd,crmadd,L34,Casa di Riposo Maria Addolorata,casadiriposo-santaninfa.it,gmail.com,1,gmail.com=NO:unrelated
IT-L34-crssa,crssa,L34,Casa di Riposo Ss. Annunziata,casariposobusca.it,gmail.com,1,gmail.com=NO:unrelated
IT-L34-csaasb,csaasb,L34,Centro Socio Assistenziale Anziani Sciacca Baratta,casadiriposopatti.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-L34-iisf,iisf,L34,Ipab Istituto Sacra Famiglia,istitutosacrafamiglia.org,pec.istitutosacrafamiglia.org,1,pec.istitutosacrafamiglia.org=OK:subdomain_or_parent
IT-L34-ipabcoc,ipabcoc,L34,I.P.A.B. Casa di Ospitalita' Collereale,ipabcollereale.it,libero.it,1,libero.it=NO:unrelated
IT-L34-irsbs,irsbs,L34,Ipab Residence Salvatore Bellia San Luigi Gonzaga Costanzo Cutore,ipab-bellia.com,tiscali.it,1,tiscali.it=NO:unrelated
IT-L34-isalt,isalt,L34,Ipab Ss. Annunziata,ipabsantissimannunziata.it,hotmail.it,1,hotmail.it=NO:unrelated
IT-L34-itlep,itlep,L34,Istituto Tempesti per L'Educazione Permanente Dei Giovani Casa di Riposo E. Chiassarini,istitutotempesti.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-L34-opasm,opasm,L34,Opera Pia Asili Scuole Materne,ipab.scuolafiorasi.it,inwind.it,1,inwind.it=NO:unrelated
IT-L34-oplbag,oplbag,L34,Opera Pia Legato Barone Alpi Gaetano,legatobarone.provincia.venezia.it,gmail.com,1,gmail.com=NO:unrelated
IT-L34-oprdm,oprdm,L34,Opere Pie Riunite Devoto Marini Sivori,operepielavagna.it,libero.it,1,libero.it=NO:unrelated
IT-L34-silb,silb,L34,Scuola dell Infanzia Giandanese Bernini,giandanesebernini.com,gmail.com,1,gmail.com=NO:unrelated
IT-L35-urdcca,urdcca,L35,"Unione Regionale Delle Camere di Commercio, Industria, Artigianato e Agricoltura dell'Abruzzo",unioncamereabruzzo.it,abruzzo.camcom.it,1,abruzzo.camcom.it=NO:unrelated
IT-L36-VTH34HOV,VTH34HOV,L36,SOCIETA' DELLA SALUTE FIORENTINA SUD EST,sds-firenzesudest.055055.it,uslcentro.toscana.it,1,uslcentro.toscana.it=NO:unrelated
IT-L36-camam,camam,L36,Consorzio Asso Mab Alto Molise,assomab.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-L36-cassb,cassb,L36,Consorzio Ato Sud Salento Bacino Le3,atolecce3rsu.it,libero.it,1,libero.it=NO:unrelated
IT-L36-ccos_063,ccos_063,L36,Consorzio Cimitero Ottaviano San Giuseppe Vesuviano,consorziocimiteroottavianosangiuseppevesuviano.it,gmail.com,1,gmail.com=NO:unrelated
IT-L36-cgga,cgga,L36,Consorzio Gestione Giardino Alpinia,consorzioalpinia.it,libero.it,1,libero.it=NO:unrelated
IT-L36-cibcs,cibcs,L36,Consorzio per Il Bacino di Carenaggio della Spezia,consorziobacinocarenaggio.it,gmail.com,1,gmail.com=NO:unrelated
IT-L36-cidsp,cidsp,L36,Consorzio Ovest Solidale,consorziovestsolidale.it,ovestsolidale.to.it,1,ovestsolidale.to.it=NO:unrelated
IT-L36-cisps,cisps,L36,Consorzio Idraulico Sabino,acquasabina.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-L36-clili,clili,L36,Consorzio per L'Integrazione e L'Inclusione Sociale dell'Ambito di Maglie,ambitosocialemaglie.gov.it,comune.maglie.le.it,1,comune.maglie.le.it=NO:unrelated
IT-L36-clvcdgpc,clvcdgpc,L36,Consorzio per La Valorizzazione e Conservazione Delle Grotte di Pastena e Collepardo,grottepastenacollepardo.it,libero.it;gmail.com,2,libero.it=NO:unrelated | gmail.com=NO:unrelated
IT-L36-cplibsca,cplibsca,L36,Consorzio Polizia Locale Isola B.sca,polizialocaleisolabg.it,comune.sottoilmontegiovannixxiii.bg.it,1,comune.sottoilmontegiovannixxiii.bg.it=NO:unrelated
IT-L36-cpssa,cpssa,L36,Consorzio dei Servizi Sociali Ambito A4,pec.servizisociali.av.it,servizisociali.av.it,1,servizisociali.av.it=OK:subdomain_or_parent
IT-L36-csbv_vr,csbv_vr,L36,Consorzio Sviluppo Basso Veronese di Nogara,csbv.it,pec.csbv.it,1,pec.csbv.it=OK:subdomain_or_parent
IT-L37-PRGRIN0U,PRGRIN0U,L37,"Comitato Organizzatore ""MILANO 2023""",milano2023.it,pec.milano2023.it,1,pec.milano2023.it=OK:subdomain_or_parent
IT-L37-agtmsr,agtmsr,L37,A.G.T. Multiservizi S.R.L.,agtmultiservizi.it,pec.agtmultiservizi.it,1,pec.agtmultiservizi.it=OK:subdomain_or_parent
IT-L37-azspclca,azspclca,L37,Azienda di Servizi alla Persona Casa Leandra di Canneto Sull' Oglio,asp.canneto.mn.it,pec.asp.canneto.mn.it,1,pec.asp.canneto.mn.it=OK:subdomain_or_parent
IT-L37-cas,cas,L37,Campania Ambiente e Servizi Spa,campaniaambiente.it,hotmail.it,1,hotmail.it=NO:unrelated
IT-L37-cbb_107,cbb_107,L37,Consorzio di Bonifica del Basso Sulics,consorziobassosulcis.it,tiscali.it,1,tiscali.it=NO:unrelated
IT-L37-cbidb,cbidb,L37,Consorzio di Bonifica Integrale Dei Bacini Meridionali del Cosentino,bacinimeridionali.it,pec.bacinimeridionali.it,1,pec.bacinimeridionali.it=OK:subdomain_or_parent
IT-L37-cbopb_47,cbopb_47,L37,Consorzio di Bonifica Ombrone Pistoiese Bisenzio,cbombronebisenzio.it,pec.cbombronebisenzio.it,1,pec.cbombronebisenzio.it=OK:subdomain_or_parent
IT-L37-cbpm_rm,cbpm_rm,L37,Consorzio di Bonifica Pratica di Mare,consorziodibonificapraticadimare.it,cbpdm.it,1,cbpdm.it=NO:unrelated
IT-L37-crosc_,crosc_,L37,Casa di Riposo Ospedale Santa Croce,casediriposoanziani.com,tiscali.it,1,tiscali.it=NO:unrelated
IT-L37-esrl,esrl,L37,Emmegi S.R.L.,emmegitributi.it,hotmail.com;libero.it,2,hotmail.com=NO:unrelated | libero.it=NO:unrelated
IT-L37-esugss,esugss,L37,Esu Gestioni e Servizi Srl,esupd.gov.it,esugestioniservizi.it,1,esugestioniservizi.it=NO:unrelated
IT-L37-fccsa,fccsa,L37,Tribuzio Mobility Srl,farmacomcsa.it,gmail.com,1,gmail.com=NO:unrelated
IT-L37-gsaas,gsaas,L37,Ge.S.A. Ag2 S.P.A.,atogesaag.it,virgilio.it,1,virgilio.it=NO:unrelated
IT-L37-mosspa,mosspa,L37,Mosema S.P.A.,mosema.it,pec.mosema.it,1,pec.mosema.it=OK:subdomain_or_parent
IT-L37-scirs,scirs,L37,Servizi Comunali Integrati R.S.U. S.P.A.,servizicomunalispa.it,pec.servizicomunalispa.it;libero.it,2,pec.servizicomunalispa.it=OK:subdomain_or_parent | libero.it=NO:unrelated
IT-L37-valspa,valspa,L37,Valbe Servizi S.P.A.,valbeservizi.it,pec.valbeservizi.it,1,pec.valbeservizi.it=OK:subdomain_or_parent
IT-L37-visrl,visrl,L37,Virgilio S.R.L.,virgiliosrl.eu,pec.virgiliosrl.eu,1,pec.virgiliosrl.eu=OK:subdomain_or_parent
IT-L37-vspa,vspa,L37,Voltano S.P.A.,voltano.it,gmail.com,1,gmail.com=NO:unrelated
IT-L38-forstdom,forstdom,L38,Agenzia Demanio provinciale,agenzia-demanioprovinciale.bz.it,provincia.bz.it,1,provincia.bz.it=NO:unrelated
IT-L38-pr_migli,pr_migli,L38,Ente Parco Regionale Migliarino San Rossore Massaciuccoli,parcosanrossore.org,sanrossore.toscana.it,1,sanrossore.toscana.it=NO:unrelated
IT-L38-pzdm,pzdm,L38,Parco dello Zolfo Delle Marche,parcodellozolfodellemarche.it,regione.marche.it,1,regione.marche.it=NO:pa_shared_platform_out_of_scope:regione.marche.it
IT-L38-rndac,rndac,L38,Riserva Naturale Delle Antiche Citta di Fregellae e Fabrateria Nova e del Lago di S.Giovanni Incarico,riservafregellae.it,pec.riservafregellae.it;libero.it,2,pec.riservafregellae.it=OK:subdomain_or_parent | libero.it=NO:unrelated
IT-L38-rnlc,rnlc,L38,RISERVA NATURALE DEL LAGO DI CANTERNO,riservanaturalecanterno.it,yahoo.it,1,yahoo.it=NO:unrelated
IT-L44-caasi,caasi,L44,Consorzio di Ambito di Agrigento S.I.I.,atoidricoag9.it,email.it,1,email.it=NO:unrelated
IT-L44-caato,caato,L44,Consorzio Autorita A.T.O. N. 5 - Enna,ato5enna.it,tiscali.it,1,tiscali.it=NO:unrelated
IT-L44-srrpn,srrpn,L44,S.R.R.-Trapani Provincia Nord,srrtrapaninord.it,gmail.com,1,gmail.com=NO:unrelated
IT-L47-cddgpc,cddgpc,L47,Commissario Delegato Dirigente Generale Protezione Civile O.C.D.P.C. 257 2015,pti.regione.sicilia.it,protezionecivilesicilia.it,1,protezionecivilesicilia.it=NO:unrelated
IT-L47-cdocdp,cdocdp,L47,Commissario Delegato O.C.D.P.C. N. 340 2016,pti.regione.sicilia.it,protezionecivilesicilia.it,1,protezionecivilesicilia.it=NO:unrelated
IT-L47-cgspied,cgspied,L47,Commissariato Generale di Sezione per La Partecipazione Italiana Ad Expo 2020 Dubai,italyexpo2020.it,esteri.it,1,esteri.it=NO:unrelated
IT-L47-cslssaq,cslssaq,L47,Commissario Straordinario per La Sicurezza del Sistema Idrico del Gran Sasso,commissario.gransasso.gov.it,mit.gov.it,1,mit.gov.it=NO:unrelated
IT-L47-ocdpc619,ocdpc619,L47,Commissario Delegato Ex Ocdpc 619_2019,pti.regione.sicilia.it,protezionecivilesicilia.it,1,protezionecivilesicilia.it=NO:unrelated
IT-L8-aol_087,aol_087,L8,Azienda Ospedaliera per L'Emergenza Cannizzaro,aocannizzaro.it,ospedale-cannizzaro.it,1,ospedale-cannizzaro.it=NO:unrelated
IT-L8-irpsm_pv,irpsm_pv,L8,FONDAZIONE IRCCS POLICLINICO 'S.MATTEO',sanmatteo.org,smatteo.pv.it,1,smatteo.pv.it=NO:unrelated
IT-SA-MT4NWYDE,MT4NWYDE,SA,FONDAZIONE E.U.L.O. - UNIVERSITA' DI BRESCIA,fondazioneeulounibs.cloud,fondazioneunibs.eu,1,fondazioneunibs.eu=NO:unrelated
IT-SA-SQC4HLP9,SQC4HLP9,SA,Società Gasdotti Italia S.p.A.,gasdottitalia.com,sgispa.com,1,sgispa.com=NO:unrelated
